Tree,GF_Bu,GF_Ei,GF_Dou,GF_Fi,GF_Lae,GF_Es,GF_Hb,GF_Er,GF_SaWei,GF_Ulm,GF_MeBe,GF_SpAh,GF_Gesamt,Pro_Bu,Pro_Ei,Pro_Dou,Pro_Fi,Pro_Lae,Pro_Es,Pro_Hb,Pro_Er,Pro_SaWei,Pro_Ulm,Pro_MeBe,Pro_SpAh,Kraft_Class,Vitality_19,Vitality_20,Defoliation_20,Vitality_21,Defoliation_21,Fruits_Sep_21,Height,Height of first branch,Height of beginning canopy,Canopy length,Fruits_Okt_19,Fruits_Dez_19,Fruits_19,Fruits_Sep_20,Fruits_Dez_20,Fruits_20,FL_19_KW45,FL_19_KW46,FL_19_KW47,FL_19_KW49,FL_19_KW51,FL_20_KW_38,FL_20_KW_39,FL_20_KW_40,FL_20_KW_41,FL_20_KW_42,FL_20_KW_43,FL_20_KW_44,FL_20_KW_45,FL_20_KW_46,FL_20_KW_47,FL_20_KW_48,FL_20_KW_50,FL_20_KW_52,Date_Harvest_Aug_19,Fruits_N_Aug_19,Dryweight_N_Aug_19,Leaf_Area_N_Aug_19,SLA_N_Aug_19,Herb_Area_N_Aug_19,Herb_Perc_N_Aug_19,Chl_N_Aug_19,Chl_SD_N_Aug_19,Flav_N_Aug_19,Flav_SD_N_Aug_19,Anth_N_Aug_19,Anth_SD_N_Aug_19,NBI_N_Aug_19,NBI_SD_N_Aug_19,Sample_Height_N_Aug_19,Fruits_S_Aug_19,Dryweight_S_Aug_19,Leaf_Area_S_Aug_19,SLA_S_Aug_19,Herb_Area_S_Aug_19,Herb_Perc_S_Aug_19,Chl_S_Aug_19,Chl_SD_S_Aug_19,Flav_S_Aug_19,Flav_SD_S_Aug_19,Anth_S_Aug_19,Anth_SD_S_Aug_19,NBI_S_Aug_19,NBI_SD_S_Aug_19,Sample_Height_S_Aug_19,d_13C_12C_N_Aug_19,d_15N_14N_N_Aug_19,PerC_N_Aug_19,PerN_N_Aug_19,d_13C_12C_S_Aug_19,d_15N_14N_S_Aug_19,PerC_S_Aug_19,PerN_S_Aug_19,Date_Harvest_May_20,Sample_Height_N_May_20,Fruits_N_May_20,Dry_weight_N_May_20,Leaf_Area_N_May_20,SLA_N_May_20,Herb_Area_N_May_20,Herb_Perc_N_May_20,Chl_N_May_20,Chl_sd_N_May_20,Flav_N_May_20,Flav_sd_N_May_20,Anth_N_May_20,Anth_sd_N_May_20,NBI_N_May_20,NBI_sd_N_May_20,d 13C/12C_N_May_20,d 15N/14N_N_May_20,%C_N_May_20,%N_N_May_20,Sample_Height_S_May_20,Fruits_S_May_20,Dry_weight_S_May_20,Leaf_Area_S_May_20,SLA_S_May_20,Herb_Area_S_May_20,Herb_Perc_S_May_20,Chl_S_May_20,Chl_sd_S_May_20,Flav_S_May_20,Flav_sd_S_May_20,Anth_S_May_20,Anth_sd_S_May_20,NBI_S_May_20,NBI_sd_S_May_20,d 13C/12C_S_May_20,d 15N/14N_S_May_20,%C_S_May_20,%N_S_May_20,Harvest_Date_N_Jul_20,Sample_height_N_Jul_20,Fruits_N_Jul_20,Fresh_Weight_N_Jul_20,Dry_weight_N_Jul_20,Leaf_Moisture_N_Jul_20,Leaf_Area_N_Jul_20,SLA_N_Jul_20,Herb_Area_N_Jul_20,Herb_Perc_N_Jul_20,Stomatal_Density_N_Jul_20,Chl_N_Jul_20,Chl_sd_N_Jul_20,Flav_N_Jul_20,Flav_sd_N_Jul_20,Anth_N_Jul_20,Anth_sd_N_Jul_20,NBI_N_Jul_20,NBI_sd_N_Jul_20,d 13C/12C_N_Jul_20,d 15N/14N_N_Jul_20,%C_N_Jul_20,%N_N_Jul_20,Sample_height_S_Jul_20,Fruits_S_Jul_20,Fresh_Weight_S_Jul_20,Dry_weight_S_Jul_20,Leaf_Moisture_S_Jul_20,Leaf_Area_S_Jul_20,SLA_S_Jul_20,Herb_Area_S_Jul_20,Herb_Perc_S_Jul_20,Stomatal_Density_S_Jul_20,Chl_S_Jul_20,Chl_sd_S_Jul_20,Flav_S_Jul_20,Flav_sd_S_Jul_20,Anth_S_Jul_20,Anth_sd_S_Jul_20,NBI_S_Jul_20,NBI_sd_S_Jul_20,d 13C/12C_S_Jul_20,d 15N/14N_S_Jul_20,%C_S_Jul_20,%N_S_Jul_20,DBH_20,TWI,Deadwood,Hegyi_1,Hegyi_3,Hegyi_5
mof_cst_00001,8.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,80.95,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1.5,2.5,60,2,40,98,29.9,3,3,26.9,84,91,88,52,59,55,0.95,0.95,1.00,1.00,1.00,0.10,0.20,0.25,0.25,0.25,0.50,0.90,1.00,1.00,1.00,1.00,1.00,1.00,12.8.,0,2.05,466.322,227.474146341463,,,24.766,2.271,0.748,0.126,0.135,0.016,33.978,6.141,5,7,1.92,196.8473,102.524635416667,,,24.785,2.54,1.619,0.173,0.184,0.031,15.436,2.086,27,-30.65,-6.64,44.84,1.49,-28.6097298014287,-6.0068734072,43.4720831907825,1.60391442531027,12/05/2020,5,0,0.96,376.3179,391.9978125,0.2927,0.077779983359814,18.9565,1.01217820675127,0.5425,0.078345743697763,0.1716,0.011692352676477,35.557,5.1969351010422,-30.23,-6.99,48.93,2.10,27.9,0,1.84,233.6949,127.008097826087,0.3502,0.149853505575004,12.93,1.527,1.672,0.078,0.302,0.041,7.716,0.618,-27.95,-6.86,49.30,1.54,13/07/2020,3,0,5.05,2.44,106.967213114754,558.54095,228.910225409836,4.789,0.857412513800465,133.723987679363,30.1305,1.1888,0.7625,0.0510,0.0963,0.0094,39.6110,2.0047,-31.18,-7.26,45.30,1.78,28.4,0,4.07,2.24,81.6964285714286,175.4743,78.3367410714286,3.5597,2.02861615632603,154.007963338592,17.6011,2.3127,1.7311,0.0495,0.2799,0.0228,10.1580,1.2414,-28.28,-6.14,49.27,1.06,52.8394411065093,5.02526726228828,32429,0.068363341004467,0.193597415130885,0.321709864930082
mof_cst_00002,11.50,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.75,90.20,9.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2.5,3,70,3,75,20,32.7,9.8,9.8,22.9,60,79,69,63,69,66,0.85,0.90,0.90,0.95,1.00,0.35,0.40,0.45,0.50,0.50,0.60,0.65,0.75,0.85,0.95,0.95,0.95,0.95,12.8.,0,2.31,323.3112,139.961558441558,,,35.466,1.702,1.577,0.204,0.106,0.008,22.815,2.918,9,7,2.22,208.0956,93.7367567567567,,,39.987,3.546,1.691,0.092,0.107,0.016,23.665,1.891,16,-28.57,-6.83,43.64,1.72,-27.9904464624786,-5.8010414354,44.2175916213501,1.80664303876908,12/05/2020,11.8,0,NA,339.3815,NA,0.8453,0.249070736030102,24.7204,1.79204087254976,1.251,0.124195186881153,0.181666666666667,0.058880764638755,19.89,1.91971641424225,NA,NA,NA,NA,29.7,19,NA,232.9566,NA,0.2125,0.091218707690617,29.92,1.81061180574719,1.6432,0.064903004552948,0.133,0.02014944167961,18.208,0.912612854512921,NA,NA,NA,NA,08/07/2020,9.8,0,5.35,NA,NA,355.7015,NA,4.97965,1.39995192598288,143.490346330103,37.4139,2.2422,1.3226,0.3009,0.0984,0.0122,29.8130,7.9216,NA,NA,NA,NA,31.7,3,5.25,NA,NA,227.67945,NA,0.23025,0.101129021525658,217.864923747277,36.3647,2.5359,1.6565,0.0568,0.1421,0.0145,21.9560,1.3594,NA,NA,NA,NA,61.1154981472878,5.05452116041572,154839,0.143086080586081,0.304544413919414,0.456013315388315
mof_cst_00003,14.25,0.25,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,89.06,1.56,3.13,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2,1.5,45,2,30,19,27.7,11.8,11.8,15.9,33,87,60,49,63,56,0.80,0.85,0.95,1.00,1.00,0.05,0.05,0.05,0.05,0.10,0.15,0.50,1.00,1.00,1.00,1.00,1.00,1.00,2.9.,0,2.54,515.0076,202.758897637795,,,35.267,3.021,0.669,0.086,0.085,0.013,53.266,5.697,13,7,3.98,532.1968,133.717788944724,,,35.666,4.278,1.234,0.301,0.106,0.034,31.069,10.212,25,-30.99,-5.68,42.57,1.62,-28.1205122228122,-5.0395645348,47.7853092992913,1.41633541549824,20/05/2020,11.8,0,2.07,612.2421,295.769130434783,3.4166,0.558047216942448,28.882,1.163,0.693,0.082,0.113,0.008,42.156,4.741,-29.43,-5.73,47.89,2.45,25.7,24,2.33,360.811,154.854506437768,0.5708,0.158199167985455,27.543,2.199,1.611,0.151,0.142,0.018,17.212,1.913,-28.53,-5.73,49.80,2.10,22/07/2020,11.8,0,3.87,1.63,137.423312883436,492.06765,301.881993865031,4.7613,0.967610855946332,111.937495304635,27.9019,0.9480,0.5045,0.0731,0.0998,0.0168,56.5490,9.6654,-31.44,-5.78,49.91,2.37,25.2,2,4.9,2.57,90.6614785992218,361.3251,140.593424124514,0.6716,0.185871393933054,167.530613778078,32.2175,3.5912,1.5216,0.5245,0.1092,0.0164,21.4000,7.0944,-29.26,-5.79,49.00,2.04,50.9295817894065,4.09357924630612,4249,0.112359550561798,0.25977962259644,0.320790882581553
mof_cst_00004,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2,2.5,75,2,65,75,35.2,24.3,24.3,10.9,73,89,81,32,92,62,0.95,1.00,1.00,1.00,1.00,0.30,0.30,0.35,0.40,0.40,0.60,1.00,1.00,1.00,1.00,1.00,1.00,1.00,20.8.,0,2.91,341.5422,117.368453608247,,,42.235,3.233,1.608,0.128,0.099,0.017,26.449,3.205,25,2,3.19,216.7546,67.9481504702194,,,36.523,4.109,1.774,0.052,0.222,0.026,20.597,2.361,32,-29.14,-5.49,43.55,1.89,-28.2843200946601,-5.2677034198,44.8029994644745,1.71129150112894,18/05/2020,25,22,1.44,193.0658,134.073472222222,0.7512,0.389090144396366,33.3132,1.77755842535641,1.6512,0.119114137606658,0.1136,0.011481385901633,20.321,2.35816053548336,-28.22,-6.46,48.47,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/07/2020,27,17,5.26,2.65,98.4905660377359,281.12835,106.086169811321,0.2818,0.100238912226391,194.575914657051,31.2557,10.7101,1.7276,0.5226,0.1928,0.0767,18.1230,6.2645,-28.53,-5.84,51.49,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.6169068953095,5.93886412215467,14137,0.044225506294472,0.08856048166393,0.08856048166393
mof_cst_00005,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,1.5,2.5,65,2.5,65,74,34.9,8.2,8.2,26.7,56,80,68,69,62,66,0.85,0.90,0.95,1.00,1.00,0.20,0.30,0.40,0.40,0.40,0.40,0.40,0.95,1.00,1.00,1.00,1.00,1.00,20.8.,0,2.47,484.1249,196.001983805668,,,39.257,1.763,0.597,0.081,0.081,0.01,66.817,8.83,10,0,3.33,235.8113,70.8142042042042,,,36.294,2.214,1.746,0.124,0.384,0.016,22.625,2.308,32,-30.36,-5.95,44.03,1.71,-28.3846677402152,-5.6935626718,49.4265094010368,1.34627664048474,20/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/07/2020,9,0,5.73,2.5,129.2,455.28715,182.11486,0.94155,0.206803552439378,145.744121403351,37.1940,2.2655,0.6977,0.1082,0.0653,0.0222,54.1450,6.2986,-29.68,-6.00,47.29,2.52,34,18,3.68,1.96,87.7551020408163,156.0593,79.6220918367347,0.0341,0.021850668303651,210.352340169784,20.5840,7.2570,1.5882,0.3116,0.2650,0.0815,15.1360,13.0230,-27.66,-5.23,30.73,0.82,55.0676103097958,5.39553331963933,7265,0.181085553929916,0.422164587163208,0.576496496901397
mof_cst_00006,13.50,3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.75,80.60,19.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2,2,50,2,60,6,32.7,16.5,16.5,16.2,64,77,70,71,62,67,0.90,0.95,1.00,1.00,1.00,0.30,0.45,0.45,0.50,0.80,0.80,0.80,0.95,0.95,1.00,1.00,1.00,1.00,19.8.,0,2.64,527.2641,199.72125,,,34.289,2.652,0.646,0.158,0.1,0.011,55.171,9.911,10,2,1.8,221.6709,123.1505,,,31.49,3.708,1.532,0.265,0.188,0.028,21.136,4.288,29,-28.72,-4.83,49.45,2.07,-28.0556837558435,-4.9320857712,41.6526903007325,1.62063362351759,13/05/2020,17.5,0,2.2,659.6301,299.831863636364,0.1839,0.027879261422425,24.711,1.822,0.611,0.041,0.146,0.013,40.664,4.474,-27.37,-5.10,44.84,2.17,30.7,17,2.22,316.6239,142.623378378378,0.553,0.174655166587235,24.572,2.411,1.575,0.078,0.2,0.019,15.613,1.444,-24.39,-5.49,44.16,1.92,27/07/2020,16.5,0,7.03,3.11,126.04501607717,662.9906,213.180257234727,3.7448,0.564834554215399,117.19630380888,31.6554,1.9172,0.9508,0.0954,0.1331,0.0076,33.4900,2.6990,-28.41,-4.69,45.49,2.20,30.7,5,6.28,3.19,96.8652037617555,343.791,107.771473354232,10.22355,2.97376894683107,175.79445571332,29.7372,2.7728,1.7029,0.0352,0.1758,0.0269,17.4660,1.6228,-25.42,-4.81,47.57,2.16,56.340849854531,6.0215941087999,20803,0.06346598969611,0.407588307312202,0.61714954454174
mof_cst_00007,8.25,0.00,0.25,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,14.50,56.90,0.00,1.72,0.00,0.00,41.38,0.00,0.00,0.00,0.00,0.00,0.00,2,0.5,0,10,0,15,42,21.4,3,6.5,14.9,72,28,50,52,72,62,0.85,0.95,1.00,1.00,1.00,0.05,0.05,0.05,0.05,0.10,0.15,0.95,1.00,1.00,1.00,1.00,1.00,1.00,3.9.,0,1.16,283.5344,244.426206896552,,,34.438,1.798,0.288,0.041,0.086,0.02,121.37,14.504,7,7,1.38,94.2135,68.2706521739131,,,43.463,5.658,1.583,0.156,0.11,0.025,27.738,5.017,19,-31.67,-3.21,46.32,2.18,-26.3540229911037,-3.9901256638,50.0436310633043,1.65883339267938,25/05/2020,3,0,0.91,346.551,380.825274725275,0.9838,0.283883180253411,29.552,1.32,0.346,0.028,0.1,0.007,85.877,6.816,-31.43,-4.25,48.24,2.89,20.4,0,3.86,374.0709,96.9095595854922,1.7901,0.478545644689282,41.731,2.318,1.568,0.195,0.1,0.017,26.951,3.316,-27.07,-3.62,48.96,2.42,27/07/2020,3,0,3.17,1.27,149.606299212598,364.94385,287.357362204724,11.27795,3.09032471707634,118.698820524378,37.4215,3.2034,0.3161,0.0561,0.0693,0.0123,120.4470,14.3857,-32.51,-3.43,39.21,2.51,20.4,2,7.47,3.94,89.5939086294416,284.59185,72.2314340101523,0.3317,0.116552880906463,194.575914657051,45.9883,1.9641,1.6866,0.5361,0.1022,0.0211,27.0578,8.6799,-27.51,-3.51,51.61,2.57,50.6112719032227,7.24753744772132,6142,0.577936426993031,0.72363026120515,0.88180095742437
mof_cst_00008,18.50,5.25,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,24.00,77.08,21.88,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00,0.00,0.00,2,1.5,2,60,1.5,35,1,21.2,9.3,9.3,11.9,34,74,54,12,28,20,0.80,0.90,0.95,1.00,1.00,0.10,0.15,0.20,0.20,0.40,0.60,0.80,0.95,1.00,1.00,1.00,1.00,1.00,13.8.,0,1.72,76.2249,44.3168023255814,,,31.254,2.72,1.293,0.177,0.115,0.02,24.55,3.664,14,1,2.86,75.6498,26.450979020979,,,38.046,8.609,1.648,0.186,0.121,0.022,23.418,5.976,19,-29.96,-6.37,42.86,1.54,-28.548421239869,-6.4013001906,41.9275736892926,1.60721774043652,11/05/2020,14.3,5,2.52,NA,NA,NA,NA,23.615,2.85,1.225,0.216,0.166,0.013,19.982,5.005,-27.79,-6.09,49.59,2.17,19.2,28,2.06,NA,NA,NA,NA,26.98,3.489,1.682,0.064,0.177,0.033,16.032,1.936,-26.71,-6.16,49.26,2.37,13/07/2020,9.3,1,6.58,3.14,109.554140127389,455.2784,144.993121019108,14.75585,3.24106085419383,154.759221696341,32.0261,2.4708,1.2215,0.1893,0.1194,0.0166,26.8580,4.9550,-29.43,-5.78,47.67,1.74,21.2,16,4.43,2.42,83.0578512396694,211.1517,87.2527685950413,3.3586,1.59060997377715,156.26173841184,33.9420,3.0411,1.7566,0.6640,0.1376,0.0566,19.2536,7.4925,-27.79,-5.78,46.69,2.03,43.9267642933631,4.24389305612678,3511,0.350631136044881,0.760405240589247,1.10563675142396
mof_cst_00009,22.75,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,23.50,96.81,0.00,0.00,0.00,0.00,3.19,0.00,0.00,0.00,0.00,0.00,0.00,2,1,1.5,35,2,40,35,36,14.4,19.5,16.5,28,32,30,35,81,58,0.75,0.80,0.85,1.00,1.00,0.25,0.25,0.25,0.25,0.25,0.25,0.30,0.75,0.95,1.00,1.00,1.00,1.00,20.8.,0,1.6,363.1757,226.9848125,,,41.369,1.543,0.682,0.106,0.077,0.008,61.752,7.958,15,0,3.6,400.0966,111.137944444444,,,41.473,1.832,1.508,0.146,0.094,0.006,27.676,2.247,33,-29.99,-6.26,43.72,1.95,-29.4250701349764,-6.902191787,35.0460305836806,0.963280615920079,13/05/2020,14.4,0,1.54,435.7672,282.965714285714,1.6792,0.385343366825222,28.606,1.309,0.594,0.043,0.117,0.009,48.254,2.396,-28.77,-6.10,47.00,2.55,34,19,1.38,171.396,124.2,0.0871,0.050817988751196,29.51,1.772,1.63,0.056,0.162,0.017,18.134,1.419,-25.45,-6.31,48.25,2.63,14/07/2020,14.4,0,6.08,2.72,123.529411764706,645.34955,237.260863970588,7.758,1.20213921277237,126.96266245962,36.0058,1.7908,0.6996,0.0634,0.0750,0.0087,51.6660,3.1519,-29.54,-5.31,45.21,2.35,35,20,3.68,1.9,93.6842105263158,193.227,101.698421052632,1.69545,0.877439488270273,191.570881226054,35.4720,2.8929,1.6675,0.0404,0.1248,0.0189,21.2920,1.9217,-26.78,-6.29,47.13,1.86,52.9985960496011,5.91290796506225,29528,0.319946114338638,0.626826533263874,0.883626095086458
mof_cst_00010,9.00,0.00,10.00,0.75,7.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.50,32.73,0.00,36.36,2.73,28.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,0,0,10,0,15,34,22.7,8.3,8.3,14.4,30,82,56,26,31,29,0.70,0.80,0.90,1.00,1.00,0.05,0.05,0.05,0.05,0.15,0.15,0.30,0.80,1.00,1.00,1.00,1.00,1.00,3.9.,0,2.31,494.942,214.260606060606,,,43.375,0.812,0.567,0.077,0.068,0.005,77.577,8.524,10,2,1.3,102.0523386,78.5017989230769,,,48.605,5.237,1.589,0.183,0.108,0.029,30.935,4.768,20,-29.31,-4.96,41.17,1.96,-26.7417326811126,-4.7952024402,41.9666382384143,1.89649919092057,25/05/2020,8.3,0,2.04,590.5806,289.500294117647,5.8387,0.988637283378425,32.068,1.069,0.608,0.071,0.096,0.013,53.364,5.977,-28.40,-5.00,46.95,2.78,22.7,1,2.05,295.4275,144.110975609756,0.4634,0.156857435411395,23.442,2.475,1.77,0.026,0.206,0.026,13.257,1.479,-26.05,-4.91,50.22,2.21,20/07/2020,8.3,0,4.3,1.86,131.182795698925,505.0906,271.554086021505,2.42485,0.48008218723532,112.688753662384,33.6634,0.8663,0.5794,0.0430,0.0858,0.0065,58.3490,3.9439,-29.39,-4.49,48.13,2.95,20.7,1,4.57,2.09,118.66028708134,351.8549,168.351626794258,23.5436,6.69128097974478,182.555780933063,38.2718,1.4516,0.8560,0.0916,0.0722,0.0083,45.1450,4.7470,-27.92,-4.77,49.50,2.83,34.3774677078494,6.07106384643034,2916,0.179130083762236,0.376291530923683,0.92717742956386
mof_cst_00011,16.25,0.00,11.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.75,58.56,0.00,41.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,0.5,1,25,0.5,15,16,24,8.4,8.4,15.6,36,83,59,58,57,58,0.85,0.95,0.95,1.00,1.00,0.10,0.10,0.10,0.10,0.15,0.30,0.95,0.85,1.00,1.00,1.00,1.00,1.00,3.9.,0,1.87,381.1542,203.825775401069,,,41.711,3.16,0.493,0.122,0.065,0.021,91.217,27.878,10,4,1.16,91.6406,79.0005172413793,,,44.108,3.794,1.742,0.097,0.138,0.017,25.376,2.41,21,-30.69,-5.13,47.15,2.15,-28.4793862229106,-5.7391904488,46.8703930573059,1.84653906308389,25/05/2020,11.4,0,1.94,514.3767,265.142628865979,16.6545,3.23780217883119,33.243,1.281,0.556,0.028,0.095,0.012,59.92,3.625,-29.97,-5.27,46.44,2.42,23,1,2.53,279.0892,110.311936758893,0,0,32.903,3.001,1.742,0.017,0.148,0.017,18.895,1.849,-27.91,-5.69,50.04,2.47,20/07/2020,10.4,0,4.85,2.03,138.916256157635,501.9564,247.269162561576,2.83445,0.5646805180689,127.713920817369,33.6764,7.7114,0.4244,0.0434,0.0922,0.0479,79.5560,18.7711,-30.04,-4.79,43.80,2.29,23.5,9,3.28,1.69,94.0828402366864,196.305,116.156804733728,10.4021,5.2989480655103,165.276838704831,34.9542,3.1729,1.5594,0.0964,0.1244,0.0301,22.5650,3.1752,-27.75,-5.12,48.07,1.92,28.6478897565412,5.62619286637502,3911,0.309789343246592,0.858591686108731,1.31214199615451
