Tree,GF_Bu,GF_Ei,GF_Dou,GF_Fi,GF_Lae,GF_Es,GF_Hb,GF_Er,GF_SaWei,GF_Ulm,GF_MeBe,GF_SpAh,GF_Gesamt,Pro_Bu,Pro_Ei,Pro_Dou,Pro_Fi,Pro_Lae,Pro_Es,Pro_Hb,Pro_Er,Pro_SaWei,Pro_Ulm,Pro_MeBe,Pro_SpAh,Kraft_Class,Vitality_19,Vitality_20,Defoliation_20,Vitality_21,Defoliation_21,Fruits_Sep_21,Height,Height of first branch,Height of beginning canopy,Canopy length,Fruits_Okt_19,Fruits_Dez_19,Fruits_19,Fruits_Sep_20,Fruits_Dez_20,Fruits_20,FL_19_KW45,FL_19_KW46,FL_19_KW47,FL_19_KW49,FL_19_KW51,FL_20_KW_38,FL_20_KW_39,FL_20_KW_40,FL_20_KW_41,FL_20_KW_42,FL_20_KW_43,FL_20_KW_44,FL_20_KW_45,FL_20_KW_46,FL_20_KW_47,FL_20_KW_48,FL_20_KW_50,FL_20_KW_52,Date_Harvest_Aug_19,Fruits_N_Aug_19,Dryweight_N_Aug_19,Leaf_Area_N_Aug_19,SLA_N_Aug_19,Herb_Area_N_Aug_19,Herb_Perc_N_Aug_19,Chl_N_Aug_19,Chl_SD_N_Aug_19,Flav_N_Aug_19,Flav_SD_N_Aug_19,Anth_N_Aug_19,Anth_SD_N_Aug_19,NBI_N_Aug_19,NBI_SD_N_Aug_19,Sample_Height_N_Aug_19,Fruits_S_Aug_19,Dryweight_S_Aug_19,Leaf_Area_S_Aug_19,SLA_S_Aug_19,Herb_Area_S_Aug_19,Herb_Perc_S_Aug_19,Chl_S_Aug_19,Chl_SD_S_Aug_19,Flav_S_Aug_19,Flav_SD_S_Aug_19,Anth_S_Aug_19,Anth_SD_S_Aug_19,NBI_S_Aug_19,NBI_SD_S_Aug_19,Sample_Height_S_Aug_19,d_13C_12C_N_Aug_19,d_15N_14N_N_Aug_19,PerC_N_Aug_19,PerN_N_Aug_19,d_13C_12C_S_Aug_19,d_15N_14N_S_Aug_19,PerC_S_Aug_19,PerN_S_Aug_19,Date_Harvest_May_20,Sample_Height_N_May_20,Fruits_N_May_20,Dry_weight_N_May_20,Leaf_Area_N_May_20,SLA_N_May_20,Herb_Area_N_May_20,Herb_Perc_N_May_20,Chl_N_May_20,Chl_sd_N_May_20,Flav_N_May_20,Flav_sd_N_May_20,Anth_N_May_20,Anth_sd_N_May_20,NBI_N_May_20,NBI_sd_N_May_20,d 13C/12C_N_May_20,d 15N/14N_N_May_20,%C_N_May_20,%N_N_May_20,Sample_Height_S_May_20,Fruits_S_May_20,Dry_weight_S_May_20,Leaf_Area_S_May_20,SLA_S_May_20,Herb_Area_S_May_20,Herb_Perc_S_May_20,Chl_S_May_20,Chl_sd_S_May_20,Flav_S_May_20,Flav_sd_S_May_20,Anth_S_May_20,Anth_sd_S_May_20,NBI_S_May_20,NBI_sd_S_May_20,d 13C/12C_S_May_20,d 15N/14N_S_May_20,%C_S_May_20,%N_S_May_20,Harvest_Date_N_Jul_20,Sample_height_N_Jul_20,Fruits_N_Jul_20,Fresh_Weight_N_Jul_20,Dry_weight_N_Jul_20,Leaf_Moisture_N_Jul_20,Leaf_Area_N_Jul_20,SLA_N_Jul_20,Herb_Area_N_Jul_20,Herb_Perc_N_Jul_20,Stomatal_Density_N_Jul_20,Chl_N_Jul_20,Chl_sd_N_Jul_20,Flav_N_Jul_20,Flav_sd_N_Jul_20,Anth_N_Jul_20,Anth_sd_N_Jul_20,NBI_N_Jul_20,NBI_sd_N_Jul_20,d 13C/12C_N_Jul_20,d 15N/14N_N_Jul_20,%C_N_Jul_20,%N_N_Jul_20,Sample_height_S_Jul_20,Fruits_S_Jul_20,Fresh_Weight_S_Jul_20,Dry_weight_S_Jul_20,Leaf_Moisture_S_Jul_20,Leaf_Area_S_Jul_20,SLA_S_Jul_20,Herb_Area_S_Jul_20,Herb_Perc_S_Jul_20,Stomatal_Density_S_Jul_20,Chl_S_Jul_20,Chl_sd_S_Jul_20,Flav_S_Jul_20,Flav_sd_S_Jul_20,Anth_S_Jul_20,Anth_sd_S_Jul_20,NBI_S_Jul_20,NBI_sd_S_Jul_20,d 13C/12C_S_Jul_20,d 15N/14N_S_Jul_20,%C_S_Jul_20,%N_S_Jul_20,DBH_20,TWI,Deadwood,Hegyi_1,Hegyi_3,Hegyi_5
mof_cst_00025,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2,2,55,2.5,65,81,33,13,13,20,66,82,74,90,78,84,0.95,0.95,0.95,1.00,1.00,0.50,0.50,0.50,0.50,0.55,0.65,0.80,0.95,1.00,1.00,1.00,1.00,1.00,20.8.,2,2.86,363.0889,126.954160839161,,,46.3,2.672,1.428,0.149,0.082,0.01,32.624,2.56,14,1,3.92,234.6558,59.8611734693878,,,42.582,1.787,1.746,0.044,0.136,0.015,24.401,1.201,31,-29.32,-5.33,47.49,2.17,-28.7959660266954,-5.1166247804,40.3380883890749,1.39936358354472,13/05/2020,16,0,1.63,374.9678,230.041595092025,0.2459,0.065578964380408,33.28,1.373,0.903,0.114,0.116,0.017,37.288,4.004,-28.33,-4.92,47.70,2.72,31,40,2.26,265.0858,117.294601769912,0.2138,0.08065313192936,37.028,1.564,1.657,0.138,0.136,0.015,22.499,2.147,-26.62,-5.69,35.13,1.85,14/07/2020,13,1,4.76,2.11,125.592417061611,423.2146,200.575639810427,7.3801,1.74381980205787,209.601081812035,39.6558,1.7038,0.7366,0.0668,0.0784,0.0252,54.2540,5.6711,-28.89,-4.86,47.51,2.49,32.5,15,5.75,2.73,110.622710622711,267.99495,98.1666483516484,9.7604,3.64200892591446,286.980692660206,38.1850,5.3577,1.8080,0.1066,0.1467,0.0340,21.1640,2.9238,-27.21,-5.63,45.04,1.80,69.3915551880664,4.49759953491863,17462,0.166671583232544,0.166671583232544,0.166671583232544
mof_cst_00026,19.75,4.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.25,81.44,17.53,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1,1,25,2,30,37,25.7,12.7,12.7,13,26,78,52,80,86,83,0.55,0.85,0.90,0.95,1.00,0.10,0.15,0.15,0.25,0.25,0.30,0.55,0.95,0.95,1.00,1.00,1.00,1.00,21.8.,0,1.94,314.059,161.886082474227,,,38.512,1.485,0.588,0.098,0.08,0.006,66.984,10.606,13,0,1.52,187.2199,123.170986842105,,,33.512,4.435,1.386,0.074,0.38,0.016,27.435,3.544,24,-30.39,-4.94,40.08,1.71,-29.7478068198625,-5.9095341496,43.9647904901464,1.63507980544793,18/05/2020,12.7,0,2.62,453.4727,173.081183206107,6.5782,1.45062756809837,27.2,1.221,1.513,0.22,0.154,0.014,18.525,4.267,-28.47,-5.74,47.65,2.20,24.7,18,1.72,199.224,115.827906976744,0.189,0.094868088182147,31.067,2.309,1.691,0.08,0.155,0.028,18.422,1.843,-27.02,-5.84,44.84,2.62,15/07/2020,12.7,0,5.19,2.33,122.74678111588,428.29955,183.819549356223,14.66755,3.42460084303147,199.083464803546,37.5828,2.6367,1.2798,0.1818,0.1138,0.0113,29.8420,4.1152,-29.25,-5.22,46.60,2.42,22.7,17,3.42,1.49,129.530201342282,227.43995,152.644261744966,1.6841,0.740459184940904,224.62624896702,37.8334,3.6925,1.2592,0.2621,0.1175,0.0111,31.5210,8.6059,-29.29,-6.08,47.91,1.87,43.1309895779036,5.62787270713572,7537,0.2520025200252,0.636613917997434,0.813053160414923
mof_cst_00027,12.00,7.00,0.25,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,20.50,58.54,34.15,1.22,0.00,0.00,0.00,6.10,0.00,0.00,0.00,0.00,0.00,2,1,1,20,2,35,28,33,9.2,9.2,23.8,47,95,71,15,60,37,0.80,0.90,0.90,1.00,1.00,0.00,0.05,0.10,0.10,0.20,0.20,0.35,0.75,0.95,1.00,1.00,1.00,1.00,5.9.,0,3.68,707.0547,192.134429347826,,,42.397,1.872,0.827,0.119,0.067,0.005,52.118,6.979,10,6,1.58,113.6621,71.9380379746835,,,42.581,5.479,1.801,0.045,0.165,0.031,23.665,3.108,30,-31.54,-5.00,41.24,1.83,-27.8975307941339,-5.2159919392,42.5362064517991,1.45439065065966,25/05/2020,9.2,0,2.04,594.0034,291.178137254902,3.8751,0.652370003269341,31.799,1.835,0.628,0.08,0.09,0.011,51.146,4.293,-31.64,-5.34,40.17,2.04,33,0,4.07,412.1495,101.265233415233,0.3019,0.073250119192186,27.1072,4.68125616569837,1.737,0.017851237118661,0.2006,0.033273947099128,15.616,2.75501643471605,-27.35,-5.40,48.62,1.94,27/07/2020,9.2,0,4.58,1.89,142.328042328042,511.74105,270.76246031746,18.3819,3.59203155580347,129.967695890617,31.9660,2.6600,0.4996,0.0619,0.0903,0.0227,64.9100,9.4851,-31.71,-5.23,47.59,2.64,32,7,6.37,3.45,84.6376811594203,279.2736,80.9488695652174,6.3755,2.28288674618725,202.088498234543,28.5144,3.2369,1.6519,0.1081,0.1782,0.0443,17.3480,2.4209,-27.75,-4.99,48.77,1.54,50.2929620170389,4.11586943448653,36505,0.088492170366665,0.227299980053926,0.679439640762187
mof_cst_00028,10.25,8.50,0.00,0.50,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,19.50,52.56,43.59,0.00,2.56,0.00,0.00,0.00,1.28,0.00,0.00,0.00,0.00,1,1.5,1.5,25,2,35,10,31.4,9.6,9.6,21.8,84,91,88,0,13,6,0.70,0.85,0.95,0.95,1.00,0.00,0.10,0.10,0.10,0.10,0.35,0.75,0.95,0.95,0.95,0.95,0.95,0.95,13.8.,0,0.76,51.5181,67.7869736842105,,,35.392,1.182,0.738,0.036,0.079,0.007,48.062,2.369,11,2,1.98,69.8579,35.2817676767677,,,37.502,1.74326061033787,1.7069,0.168413809146136,0.1139,0.016134504089752,22.234,3.12988178690505,29,-29.40,-5.05,46.84,2.07,-28.7539046160713,-6.0565569866,46.529598594254,1.93174537942788,11/05/2020,11.6,0,1.29,NA,NA,NA,NA,24.3308,1.46909940666609,0.5547,0.083094390772048,0.1585,0.026676040019297,44.636,6.30884247174815,-29.23,-5.25,46.84,2.81,28.4,0,0.96,NA,NA,NA,NA,19.832,1.414,1.738,0.037,0.237,0.018,11.431,1.043,-26.82,-5.57,46.41,2.18,13/07/2020,9.6,0,3.15,1.29,144.186046511628,435.8789,337.890620155039,0.80845,0.185475828263309,92.4047780031553,27.5289,1.1075,0.5694,0.0574,0.0994,0.0072,48.9020,6.5402,-29.50,-4.95,36.44,1.73,30.9,0,3.22,1.9,69.4736842105263,195.94425,103.128552631579,4.3688,2.22961378045031,173.540680640072,22.2049,3.3861,1.7146,0.0393,0.2155,0.0757,12.9273,1.8208,-26.89,-4.76,47.21,1.61,56.340849854531,4.89899963924042,35908,0.097235494308371,0.608834514841605,0.767197290740429
mof_cst_00029,6.50,0.00,3.50,0.50,7.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.75,36.62,0.00,19.72,2.82,40.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,0,0,0,0,10,0,19.3,10.1,1,18.3,0,0,0,0,1,1,0.70,0.80,0.90,0.95,0.95,0.00,0.00,0.10,0.10,0.15,0.25,0.25,0.50,0.95,1.00,1.00,0.95,0.95,4.9.,0,1.17,267.9668,229.031452991453,,,37.446,2.011,0.398,0.057,0.087,0.01,95.496,12.726,5,0,1.04,170.7945,164.225480769231,,,36.551,1.755,0.758,0.108,0.089,0.012,49.133,7.323,17,-29.28,-5.11,33.88,1.67,-30.5165475412381,-4.636480911,43.6325282590265,2.0189785473018,19/05/2020,1,0,0.91,350.1813,384.814615384615,42.4028,12.1088133489709,26.04,1.486,0.38,0.099,0.137,0.015,71.898,15.694,-29.02,-4.41,47.40,2.75,17.3,0,0.9,202.984,225.537777777778,0.5533,0.272583060733851,28.638,1.672,0.955,0.126,0.131,0.013,30.453,4.397,-27.47,-5.59,45.83,2.45,21/07/2020,1,0,2.23,1.02,118.627450980392,336.0178,329.429215686274,0.9921,0.295252215805234,138.231537825858,29.4798,0.9237,0.5228,0.0267,0.1017,0.0048,56.4600,2.5955,-29.86,-4.55,46.32,2.58,18.3,0,3.21,1.5,114,326.4228,217.6152,0.25715,0.078778198091555,166.02809706258,34.2623,1.7766,0.6657,0.0863,0.0977,0.0145,52.2640,7.5969,-28.99,-5.16,46.45,2.55,17.6661986832004,4.91320830101176,2359,1.27792991229115,1.89698953637349,2.36005530865011
mof_cst_00030,5.25,1.25,0.00,3.00,0.00,5.00,1.00,0.00,0.25,0.00,0.00,0.00,15.75,33.33,7.94,0.00,19.05,0.00,31.75,6.35,0.00,1.59,0.00,0.00,0.00,4,0.5,0.5,10,1,25,23,26.9,5.8,5.8,21.1,5,26,16,4,29,17,0.95,1.00,1.00,1.00,1.00,0.05,0.05,0.05,0.10,0.15,0.20,0.95,1.00,1.00,1.00,1.00,1.00,1.00,5.9.,0,1.04,292.2012,280.962692307692,,,29.919,1.173,0.381,0.062,0.116,0.011,80.138,11.99,7,0,2.31,256.6548,111.105974025974,,,28.859,2.113,1.754,0.047,0.178,0.024,16.469,1.418,24,-30.73,-5.01,36.74,1.54,-28.7446220480426,-5.0713224167,50.2965607827897,1.49284084743504,25/05/2020,3,0,1.04,316.907,304.718269230769,1.5033,0.474366296736898,28.654,1.963,0.969,0.16,0.124,0.013,30.417,5.951,-30.52,-5.13,45.87,2.40,24.9,10,2.71,281.9732,104.049151291513,0.0034,0.001205788351517,31.549,2.154,1.759,0.019,0.157,0.014,17.935,1.21,-28.08,-5.15,39.68,1.70,20/07/2020,5.8,0,4.03,1.67,141.317365269461,408.9146,244.859041916168,0.03095,0.007568817547723,229.133799113515,29.7216,1.4479,0.9584,0.0820,0.1138,0.0069,31.1990,2.8659,-32.07,-5.84,46.59,2.35,25.9,0,4.25,2.24,89.7321428571428,218.66545,97.6185044642857,5.32085,2.43332908788288,269.701750431974,29.9666,3.8559,1.7565,0.0368,0.1859,0.0247,17.0390,1.9817,-27.41,-5.22,43.98,1.76,39.6295808298819,6.12924952566512,4040,1.11858476852194,1.57429966944675,1.98072109559224
mof_cst_00031,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.5,0,10,0,15,0,28.3,14.4,18.5,9.8,13,65,39,0,19,10,0.90,0.95,0.95,1.00,1.00,0.00,0.00,0.05,0.05,0.10,0.15,0.80,0.90,1.00,0.95,0.95,0.95,0.95,10.9.,0,1.32,354.3942,268.480454545455,,,32.27,1.541,0.443,0.058,0.103,0.008,73.888,9.227,16,0,2.36,187.4464,79.4264406779661,,,33.008,3.606,1.754,0.066,0.186,0.026,18.822,2.027,26,-31.66,-6.14,46.35,1.85,-27.0891812137035,-6.1870473886,44.9599443624467,1.39335707145237,25/05/2020,8,0,1.15,420.9749,366.065130434783,14.4724,3.43782966632928,25.553,1.238,0.443,0.03,0.127,0.009,57.833,3.551,-30.49,-6.06,45.59,2.73,26.3,4,2.31,370.7453,160.495800865801,0.0459,0.01238046712932,35.03,4.556,1.717,0.139,0.116,0.024,20.48,2.678,-28.47,-6.99,45.95,1.93,29/07/2020,6,0,3.22,1.24,159.677419354839,419.08995,337.975766129032,0.12875,0.03072132844035,91.6535196454061,29.7904,0.7355,0.4483,0.0564,0.1071,0.0057,67.3470,8.0944,-32.24,-5.39,44.71,2.42,27.3,0,6.4,3.36,90.4761904761905,280.07385,83.3553125,0.44455,0.158725993162161,193.824656299301,40.5189,3.0668,1.6585,0.0750,0.1240,0.0144,24.4810,2.2205,-27.17,-5.91,46.15,2.23,30.2394391874601,3.568487906642,1513,0.216498693542367,0.388034884115511,0.584660867690064
mof_cst_00032,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1,1.5,40,1,25,8,31,17,17,14,14,58,36,48,44,46,0.90,0.95,1.00,1.00,1.00,0.05,0.05,0.15,0.15,0.15,0.35,0.45,1.00,1.00,1.00,1.00,1.00,1.00,20.8.,0,1.03,241.0527,234.031747572815,,,36.873,1.577,0.766,0.09,0.076,0.006,48.661,5.236,18,2,1.26,92.2636,73.2250793650794,,,43.787,3.194,1.343,0.504,0.131,0.028,37.81,15.73,28,-30.43,-5.68,47.27,1.90,-27.6885474954867,-5.4710150709,41.2270685809458,1.64466267504997,20/05/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14/07/2020,17,0,3.6,1.63,120.858895705521,383.4215,235.227914110429,4.0421,1.05421839933337,150.251671549846,31.6433,2.4795,0.6811,0.0968,0.1049,0.0182,46.9950,5.0461,-30.35,-6.52,43.47,2.03,28.5,0,3.99,2.09,90.9090909090909,220.5798,105.540574162679,0.05735,0.025999660893699,191.570881226054,27.1201,4.7899,1.7416,0.0402,0.1877,0.0553,15.5450,2.5724,-27.59,-5.96,46.22,1.93,51.5662015617741,6.01014723059717,12331,0.169400169400169,0.332471719543373,0.563936041462892
mof_cst_00033,21.00,3.50,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.75,81.55,13.59,4.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0,0.5,45,0.5,30,4,26.1,12.9,12.9,13.2,0,8,4,68,80,74,0.80,0.85,0.90,1.00,1.00,0.60,0.60,0.60,0.60,0.75,0.75,0.75,0.75,0.95,1.00,1.00,1.00,1.00,2.9.,0,2.69,465.3126,172.978661710037,,,33.383,1.885,1.368,0.205,0.101,0.008,25.111,5.538,14,0,3.94,357.796,90.8111675126904,,,44.471,5.53,1.735,0.116,0.129,0.03,25.838,4.287,23,-29.03,-4.80,49.77,2.39,-27.2012831298802,-4.5702002196,49.0796055050659,2.01293436658894,20/05/2020,13.9,0,2.85,598.4775,209.992105263158,0.818,0.136680159237398,31.144,2.197,1.259,0.169,0.107,0.009,25.04,2.888,-27.90,-5.19,46.54,2.77,25.1,2,3.06,355.7747,116.266241830065,0.1658,0.046602526823858,30.192,3.287,1.719,0.035,0.163,0.019,17.571,1.94,-25.89,-4.62,46.80,2.29,22/07/2020,13.9,0,7.71,3.57,115.966386554622,682.3847,191.144173669468,2.44015,0.357591546234844,123.957629028623,39.5957,1.8895,1.2605,0.2452,0.0784,0.0062,32.4082,5.8142,-28.57,-4.68,45.40,2.42,25.6,6,8.5,4.66,82.4034334763948,379.06035,81.3434227467811,5.9657,1.57381271873991,196.829689730298,35.6092,2.8595,1.7176,0.0281,0.1715,0.0207,20.7430,1.7909,-26.27,-4.48,46.41,2.19,45.9957785535578,5.43054408190672,3341,0.143586846503307,0.394441075197599,0.711919445708179
mof_cst_00034,17.50,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.50,85.37,0.00,14.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0,0.5,15,1,35,21,22,14.8,14.8,7.2,5,36,21,45,50,47,0.70,0.75,0.80,0.90,0.95,0.05,0.05,0.05,0.10,0.10,0.10,0.40,0.65,0.95,1.00,1.00,1.00,1.00,4.9.,0,2.88,452.8923,157.254270833333,,,41.556,2.105,0.785,0.116,0.078,0.015,54.161,9.444,8,0,4.24,419.8853,99.0295518867925,,,30.561,1.6,0.379,0.072,0.114,0.011,84.144,21.733,19,-29.14,-4.07,42.65,1.84,-27.2408796691681,-4.6635957393,48.4207176206206,2.01680163124584,19/05/2020,16,0,4.19,925.678,220.92553699284,2.1452,0.231743651680174,28.827,1.2,1.183,0.095,0.115,0.009,24.547,2.648,-27.55,-4.45,48.37,2.72,20.5,15,3.94,468.8514,118.997817258883,0.6356,0.135565341172064,33.026,2.225,1.683,0.066,0.131,0.012,19.66,1.585,-25.84,-5.03,50.75,2.47,21/07/2020,14.8,0,9.83,4.53,116.997792494481,822.8796,181.651125827815,12.5129,1.52062343020777,166.02809706258,41.1829,3.0866,1.2007,0.3119,0.0709,0.0179,38.7310,19.6485,-28.23,-4.09,41.83,2.44,21.5,0,8.67,4.85,78.7628865979382,375.8146,77.4875463917526,1.5075,0.401128641622758,288.483209375704,30.7663,3.7734,1.6707,0.0343,0.1819,0.0295,18.4010,2.0937,-26.94,-4.37,46.17,1.98,31.0352139029196,4.09312386830993,4021,0.17808558001484,0.480250545752892,0.830546563658892
mof_cst_00035,26.50,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.25,97.25,0.00,0.00,0.00,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0,0.5,20,1,25,11,21.2,7.3,7.3,13.9,0,0,0,56,60,58,0.60,0.65,0.85,1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.55,0.55,0.85,0.90,1.00,1.00,1.00,1.00,5.9.,0,2.53,658.4178,260.24418972332,,,36.201,1.784,0.62,0.062,0.09,0.011,58.994,7.106,9,0,2.48,260.1414,104.895725806452,,,21.968,3.716,1.727,0.072,0.256,0.065,12.782,2.519,17,-28.16,-5.99,46.33,1.24,-29.4443573135619,-5.0016962784,44.8577777211686,2.01119547335791,19/05/2020,1,0,1.28,575.9247,449.941171875,37.4369,6.50031158587225,22.268,1.068,0.514,0.059,0.137,0.007,44.057,7.214,-29.61,-5.72,45.01,2.58,16.2,17,2.19,308.9054,141.052694063927,0.124,0.040141739186172,30.313,1.662,1.63,0.093,0.133,0.018,18.619,0.777,-26.70,-6.70,46.55,2.49,20/07/2020,7.3,0,4.01,1.67,140.119760479042,597.20205,357.606017964072,2.14375,0.358965613061777,175.043197355571,30.7506,1.8532,0.4482,0.0389,0.1115,0.0077,68.9740,6.2468,-30.71,-5.69,43.67,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1915513499681,5.09062102792685,937,0.277008310249307,0.730319905189429,1.10275962420059
mof_cst_00036,7.75,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.75,72.09,27.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1.5,2,45,2,40,62,29.5,7,7,22.5,39,89,64,76,70,73,0.65,0.85,0.90,1.00,1.00,0.45,0.45,0.45,0.45,0.45,0.50,0.55,0.70,0.85,1.00,1.00,1.00,1.00,19.8.,0,2.67,399.5726,149.65265917603,,,35.883,2.712,0.803,0.185,0.105,0.011,46.98,12.13,8,4,1.94,159.4865,82.2095360824742,,,35.931,1.882,0.802,0.122,0.107,0.005,45.647,6.508,28,-30.43,-4.80,52.18,2.62,-29.6202789251816,-4.5352936989,48.5204379961312,1.52199122486595,13/05/2020,8,10,2.07,486.4859,235.017342995169,16.1995,3.32990123660316,28.329,1.46,0.856,0.106,0.131,0.015,33.522,4.271,-30.19,-5.76,49.25,2.51,28.5,26,1.86,240.3495,129.220161290323,0.0339,0.014104460379572,27.024,2.341,1.713,0.046,0.177,0.016,15.787,1.444,-27.82,-5.52,48.01,2.31,27/07/2020,7,5,4.64,2.14,116.822429906542,368.76205,172.318714953271,1.6997,0.460920531274842,NA,38.6995,3.5480,0.8354,0.0886,0.0967,0.0517,46.9080,6.9769,-31.39,-5.79,36.52,1.71,29.5,23,4.36,2.19,99.0867579908676,214.54545,97.9659589041096,8.72475,4.06662084886909,,25.3443,5.2110,1.6891,0.0430,0.2519,0.0413,15.0400,3.2260,-28.42,-5.11,44.95,1.32,53.3169059357849,5.45525864272233,17556,0.180175793138711,0.318603797460131,0.556165986514857
mof_cst_00037,26.50,1.50,1.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,88.33,5.00,5.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,0.5,0.5,15,0.5,20,0,24.6,16.4,16.4,8.2,0,0,0,17,27,22,0.80,0.85,1.00,1.00,1.00,0.15,0.15,0.15,0.20,0.25,0.25,0.50,0.70,0.95,1.00,1.00,1.00,1.00,5.9.,0,0.9,201.706,224.117777777778,,,41.848,2.355,0.513,0.087,0.066,0.011,83.47,12.751,17,0,1.5,132.8105,88.5403333333333,,,49.498,1.894,1.505,0.125,0.084,0.007,33.1,3.061,22,-29.29,-5.19,44.67,2.18,-27.2523746684219,-6.1521559745,48.0951110934291,2.24962457741287,19/05/2020,7,0,1.65,493.0256,298.803393939394,0.4502,0.091313716772517,28.633,2.358,0.561,0.068,0.104,0.007,51.431,5.415,-29.82,-5.42,39.40,2.48,22.6,2,2.11,219.9346,104.234407582938,0.5112,0.232432732275867,28.954,3.007,1.731,0.029,0.159,0.028,16.726,1.705,-25.52,-6.34,37.88,1.88,20/07/2020,16.4,0,3.88,1.62,139.506172839506,414.5261,255.880308641975,1.21115,0.292177018527904,181.804522575314,36.3143,2.5030,0.5530,0.0721,0.0782,0.0067,66.3790,6.8705,-30.22,-5.71,38.16,2.32,24.1,10,3.14,1.51,107.94701986755,165.1955,109.400993377483,14.948,9.04867263333444,254.676583276989,37.1417,2.6284,1.6861,0.0302,0.1285,0.0201,22.0464,1.7875,-26.80,-6.09,29.26,1.40,24.9873260654276,5.2821690316717,2170,0.706175574633066,1.55529761100006,2.32654875845575
